 Time,Stitch's Great Escape! - Temporarily Closed,"Monsters, Inc. Laugh Floor",Walt Disney World Railroad - Frontierland,Walt Disney's Enchanted Tiki Room,Sorcerers of the Magic Kingdom,The Barnstormer,Walt Disney World Railroad - Fantasyland,Casey Jr. Splash 'N' Soak Station,Cinderella Castle,Under the Sea - Journey of The Little Mermaid,Enchanted Tales with Belle,Seven Dwarfs Mine Train ,A Pirate's Adventure - Treasures of the Seven Seas,Allergy-Friendly Trick-Or-Treat Experience – Mickey's Not-So-Scary Halloween Party,Treat Locations for Mickey's Not-So-Scary Halloween Party,Pirate and Princess Adventures at Walt Disney World,Pirates at Walt Disney World Resort,Pirates at Walt Disney World,Horses - Disney Animals,Astro Orbiter,Big Thunder Mountain Railroad,Buzz Lightyear's Space Ranger Spin,Prince Charming Regal Carrousel,Dumbo the Flying Elephant,Frontierland Shootin' Arcade,"""it's a small world""",Jungle Cruise,Liberty Square Riverboat,Mad Tea Party,Main Street Vehicles,Mickey's PhilharMagic,Peter Pan's Flight,Pirates of the Caribbean,Space Mountain,Splash Mountain,Swiss Family Treehouse,Haunted Mansion,The Magic Carpets of Aladdin,The Many Adventures of Winnie the Pooh,Tom Sawyer Island,Tomorrowland Speedway,Tomorrowland Transit Authority PeopleMover,"Walt Disney World Railroad - Main Street, U.S.A",Walt Disney's Carousel of Progress,Country Bear Jamboree,The Hall of Presidents,,Unnamed: 48
2/1/2018 1:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 2:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 2:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 2:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 2:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 2:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 2:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 3:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 3:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 3:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 3:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 3:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 3:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 4:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 4:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 4:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 4:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 4:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 4:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 5:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 5:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 5:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 5:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 5:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 5:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 6:10,0,0,0,0,0,5,0,0,0,5,20,75,0,0,0,0,0,0,0,0,10,5,0,10,0,5,25,0,5,0,5,35,0,20,0,0,13,5,15,0,10,0,0,0,0,0,,
2/1/2018 6:20,0,0,0,0,0,5,0,0,0,10,20,90,0,0,0,0,0,0,0,5,5,5,5,10,0,10,30,0,5,0,5,55,0,10,0,0,13,5,15,0,10,0,0,0,0,0,,
2/1/2018 6:30,0,0,0,0,0,5,0,0,0,10,30,90,0,0,0,0,0,0,0,5,5,10,5,10,0,10,35,0,5,0,5,50,0,10,0,0,15,10,15,0,20,0,0,0,0,0,,
2/1/2018 6:40,0,0,0,0,0,5,0,0,0,10,30,90,0,0,0,0,0,0,0,5,10,20,5,15,0,10,35,0,5,0,10,60,10,30,0,0,20,10,25,0,30,0,0,0,0,0,,
2/1/2018 6:50,0,0,0,0,0,5,0,0,0,10,30,90,0,0,0,0,0,0,0,5,10,30,5,15,0,10,45,0,5,0,10,60,30,35,0,0,20,10,25,0,30,0,0,0,0,0,,
2/1/2018 7:00,0,0,0,0,0,10,0,0,0,10,40,75,0,0,0,0,0,0,0,5,15,30,5,10,0,10,35,0,5,0,10,60,30,35,0,0,35,10,30,0,30,0,0,0,0,0,,
2/1/2018 7:10,0,5,0,0,0,15,0,0,0,10,40,75,0,0,0,0,0,0,0,5,25,45,5,10,0,10,35,0,5,0,10,60,45,45,0,0,45,15,30,0,30,0,0,0,0,0,,
2/1/2018 7:20,0,5,0,0,0,15,0,0,0,10,60,60,0,0,0,0,0,0,0,5,35,45,5,15,0,10,35,0,5,0,10,60,45,45,0,0,35,15,30,0,20,0,0,0,0,0,,
2/1/2018 7:30,0,20,0,0,0,25,0,0,0,10,60,70,0,0,0,0,0,0,0,5,45,30,5,15,0,10,30,0,5,0,10,60,45,60,0,0,30,20,35,0,30,0,0,0,0,0,,
2/1/2018 7:40,0,10,0,0,0,25,0,0,0,10,60,70,0,0,0,0,0,0,0,5,45,35,5,15,0,10,45,0,5,0,10,65,25,60,0,0,25,20,45,0,20,0,0,0,0,0,,
2/1/2018 7:50,0,10,0,0,0,20,0,0,0,10,60,80,0,0,0,0,0,0,0,5,35,30,5,15,0,15,45,0,5,0,10,65,25,70,0,0,25,20,35,0,30,0,0,0,0,0,,
2/1/2018 8:00,0,20,0,0,0,20,0,0,0,15,60,90,0,0,0,0,0,0,0,5,35,45,5,20,0,15,50,0,5,0,10,65,30,85,0,0,25,20,35,0,30,0,0,0,0,0,,
2/1/2018 8:10,0,20,0,0,0,25,0,0,0,20,20,120,0,0,0,0,0,0,0,5,35,50,5,20,0,15,45,0,10,0,10,65,35,75,0,0,35,20,45,0,30,0,0,0,0,0,,
2/1/2018 8:20,0,20,0,0,0,25,0,0,0,25,20,120,0,0,0,0,0,0,0,5,35,50,5,20,0,15,45,0,20,0,10,70,45,75,0,0,45,20,45,0,30,0,0,0,0,0,,
2/1/2018 8:30,0,10,0,0,0,25,0,0,0,25,20,90,0,0,0,0,0,0,0,5,35,45,10,45,0,20,45,0,25,0,10,65,45,75,0,0,45,25,45,0,30,0,0,0,0,0,,
2/1/2018 8:40,0,10,0,0,0,25,0,0,0,30,30,90,0,0,0,0,0,0,0,5,45,40,10,35,0,25,45,0,20,0,10,55,35,90,0,0,45,30,40,0,30,0,0,0,0,0,,
2/1/2018 8:50,0,10,0,0,0,25,0,0,0,25,30,90,0,0,0,0,0,0,0,5,50,35,10,40,0,25,55,0,15,0,10,45,30,80,0,0,45,30,40,0,30,0,0,0,0,0,,
2/1/2018 9:00,0,10,0,0,0,30,0,0,0,25,30,100,0,0,0,0,0,0,0,5,40,40,10,30,0,25,55,0,20,0,10,50,35,95,0,0,25,15,35,0,30,0,0,0,0,0,,
2/1/2018 9:10,0,10,0,0,0,30,0,0,0,20,30,120,0,0,0,0,0,0,0,5,35,45,10,25,0,25,55,0,20,0,10,50,40,95,0,0,25,10,40,0,30,0,0,0,0,0,,
2/1/2018 9:20,0,10,0,0,0,25,0,0,0,15,30,125,0,0,0,0,0,0,0,5,35,50,10,30,0,25,50,0,15,0,10,50,40,95,0,0,30,20,35,0,40,0,0,0,0,0,,
2/1/2018 9:30,0,10,0,0,0,30,0,0,0,25,30,120,0,0,0,0,0,0,0,5,35,45,10,25,0,25,35,0,10,0,10,45,35,80,0,0,45,25,40,0,40,0,0,0,0,0,,
2/1/2018 9:40,0,10,0,0,0,25,0,0,0,25,50,120,0,0,0,0,0,0,0,5,40,40,10,25,0,25,55,0,10,0,15,65,25,70,0,0,50,20,30,0,20,0,0,0,0,0,,
2/1/2018 9:50,0,10,0,0,0,30,0,0,0,25,40,120,0,0,0,0,0,0,0,5,40,40,10,25,0,20,55,0,15,0,10,60,40,70,0,0,50,15,40,0,30,0,0,0,0,0,,
2/1/2018 10:00,0,10,0,0,0,35,0,0,0,30,90,120,0,0,0,0,0,0,0,5,40,30,10,15,0,20,60,0,10,0,10,50,50,75,0,0,45,20,40,0,30,0,0,0,0,0,,
2/1/2018 10:20,0,20,0,0,0,35,0,0,0,20,40,120,0,0,0,0,0,0,0,5,35,45,10,10,0,25,60,0,15,0,10,55,40,65,0,0,45,25,25,0,20,0,0,0,0,0,,
2/1/2018 10:30,0,10,0,0,0,30,0,0,0,15,30,120,0,0,0,0,0,0,0,5,50,45,10,15,0,20,45,0,15,0,10,60,30,0,0,0,45,25,25,0,30,0,0,0,0,0,,
2/1/2018 10:40,0,20,0,0,0,30,0,0,0,15,20,130,0,0,0,0,0,0,0,5,35,50,10,20,0,20,45,0,15,0,10,65,50,0,0,0,40,25,30,0,40,0,0,0,0,0,,
2/1/2018 10:50,0,20,0,0,0,25,0,0,0,20,30,130,0,0,0,0,0,0,0,5,35,55,10,20,0,20,50,0,15,0,10,65,55,0,0,0,45,25,40,0,30,0,0,0,0,0,,
2/1/2018 11:00,0,10,0,0,0,25,0,0,0,25,20,140,0,0,0,0,0,0,0,5,40,60,10,25,0,20,50,0,15,0,10,65,50,0,0,0,50,20,35,0,30,0,0,0,0,0,,
2/1/2018 11:10,0,10,0,0,0,25,0,0,0,30,30,140,0,0,0,0,0,0,0,5,40,60,10,30,0,20,35,0,15,0,10,65,35,0,0,0,45,25,35,0,30,0,0,0,0,0,,
2/1/2018 11:20,0,10,0,0,0,30,0,0,0,30,20,140,0,0,0,0,0,0,0,5,40,65,10,30,0,20,30,0,15,0,10,55,40,0,0,0,50,25,30,0,30,0,0,0,0,0,,
2/1/2018 11:30,0,10,0,0,0,25,0,0,0,30,30,120,0,0,0,0,0,0,0,5,40,65,10,30,0,25,35,0,15,0,10,60,30,0,0,0,55,25,35,0,30,0,0,0,0,0,,
2/1/2018 11:40,0,10,0,0,0,30,0,0,0,30,20,120,0,0,0,0,0,0,0,5,45,55,10,30,0,25,35,0,15,0,10,60,25,0,0,0,55,25,45,0,30,0,0,0,0,0,,
2/1/2018 11:50,0,10,0,0,0,35,0,0,0,30,30,120,0,0,0,0,0,0,0,5,45,55,10,30,0,25,40,0,15,0,10,60,20,0,0,0,45,15,35,0,30,0,0,0,0,0,,
2/1/2018 12:00,0,20,0,0,0,30,0,0,0,25,20,120,0,0,0,0,0,0,0,5,40,35,10,30,0,25,35,0,15,0,10,55,25,30,0,0,45,10,50,0,30,0,0,0,0,0,,
2/1/2018 12:10,0,10,0,0,0,30,0,0,0,25,30,110,0,0,0,0,0,0,0,5,30,35,10,20,0,20,35,0,10,0,10,50,25,85,0,0,30,20,40,0,30,0,0,0,0,0,,
2/1/2018 12:20,0,10,0,0,0,20,0,0,0,20,30,90,0,0,0,0,0,0,0,5,20,40,10,20,0,20,30,0,10,0,10,55,20,115,0,0,30,10,30,0,20,0,0,0,0,0,,
2/1/2018 12:30,0,10,0,0,0,25,0,0,0,15,40,90,0,0,0,0,0,0,0,5,30,25,10,20,0,15,40,0,5,0,10,55,20,120,0,0,35,20,15,0,20,0,0,0,0,0,,
2/1/2018 12:40,0,10,0,0,0,25,0,0,0,15,40,90,0,0,0,0,0,0,0,5,35,25,10,15,0,15,40,0,5,0,10,60,25,110,0,0,45,15,40,0,20,0,0,0,0,0,,
2/1/2018 12:50,0,10,0,0,0,25,0,0,0,15,40,90,0,0,0,0,0,0,0,5,45,30,10,10,0,15,60,0,10,0,10,80,40,130,0,0,60,20,35,0,30,0,0,0,0,0,,
2/1/2018 13:10,0,10,0,0,0,35,0,0,0,20,20,70,0,0,0,0,0,0,0,5,40,40,10,20,0,20,40,0,15,0,10,65,40,140,0,0,60,25,30,0,30,0,0,0,0,0,,
2/1/2018 13:20,0,10,0,0,0,35,0,0,0,20,20,70,0,0,0,0,0,0,0,5,35,40,10,25,0,25,35,0,10,0,10,60,30,120,0,0,60,25,25,0,30,0,0,0,0,0,,
2/1/2018 13:30,0,10,0,0,0,25,0,0,0,20,30,120,0,0,0,0,0,0,0,5,35,40,10,25,0,25,40,0,10,0,10,65,20,120,0,0,30,25,30,0,40,0,0,0,0,0,,
2/1/2018 13:40,0,20,0,0,0,25,0,0,0,20,20,110,0,0,0,0,0,0,0,5,35,40,10,25,0,30,30,0,10,0,10,60,25,105,0,0,30,25,20,0,40,0,0,0,0,0,,
2/1/2018 13:50,0,10,0,0,0,25,0,0,0,20,20,110,0,0,0,0,0,0,0,5,35,40,10,25,0,30,35,0,15,0,10,60,20,115,0,0,35,25,35,0,50,0,0,0,0,0,,
2/1/2018 14:00,0,10,0,0,0,25,0,0,0,25,30,100,0,0,0,0,0,0,0,5,0,30,10,20,0,30,40,0,10,0,10,70,40,125,0,0,30,30,45,0,50,0,0,0,0,0,,
2/1/2018 14:10,0,10,0,0,0,35,0,0,0,20,20,100,0,0,0,0,0,0,0,5,0,25,10,20,0,20,45,0,10,0,10,65,40,125,0,0,35,30,35,0,50,0,0,0,0,0,,
2/1/2018 14:20,0,10,0,0,0,35,0,0,0,20,30,100,0,0,0,0,0,0,0,5,0,35,10,15,0,15,50,0,15,0,10,70,30,120,0,0,50,20,35,0,50,0,0,0,0,0,,
2/1/2018 14:30,0,10,0,0,0,35,0,0,0,15,50,120,0,0,0,0,0,0,0,5,0,20,10,15,0,15,45,0,15,0,10,65,30,115,0,0,50,15,35,0,50,0,0,0,0,0,,
2/1/2018 14:40,0,10,0,0,0,35,0,0,0,15,50,130,0,0,0,0,0,0,0,5,0,25,10,15,0,15,50,0,15,0,10,65,30,105,0,0,50,15,30,0,50,0,0,0,0,0,,
2/1/2018 14:50,0,10,0,0,0,20,0,0,0,15,50,130,0,0,0,0,0,0,0,5,0,35,10,15,0,20,65,0,15,0,10,65,30,130,0,0,20,15,35,0,20,0,0,0,0,0,,
2/1/2018 15:00,0,10,0,0,0,25,0,0,0,20,50,140,0,0,0,0,0,0,0,5,0,55,10,15,0,20,65,0,15,0,10,55,30,130,0,0,30,15,30,0,20,0,0,0,0,0,,
2/1/2018 15:10,0,10,0,0,0,25,0,0,0,20,60,150,0,0,0,0,0,0,0,30,35,40,10,15,0,20,65,0,15,0,10,55,25,130,0,0,35,15,25,0,20,0,0,0,0,0,,
2/1/2018 15:20,0,10,0,0,0,30,0,0,0,15,50,150,0,0,0,0,0,0,0,30,25,25,10,10,0,20,60,0,15,0,10,65,25,125,0,0,45,20,25,0,20,0,0,0,0,0,,
2/1/2018 15:30,0,10,0,0,0,30,0,0,0,15,30,160,0,0,0,0,0,0,0,30,20,25,10,15,0,20,55,0,15,0,10,65,25,120,0,0,35,15,20,0,30,0,0,0,0,0,,
2/1/2018 15:40,0,10,0,0,0,30,0,0,0,10,30,150,0,0,0,0,0,0,0,30,50,30,10,15,0,15,40,0,15,0,10,55,25,105,0,0,0,15,20,0,40,0,0,0,0,0,,
2/1/2018 15:50,0,10,0,0,0,25,0,0,0,10,40,150,0,0,0,0,0,0,0,30,45,25,10,30,0,15,35,0,15,0,10,50,20,105,0,0,0,10,20,0,50,0,0,0,0,0,,
2/1/2018 16:00,0,10,0,0,0,20,0,0,0,10,40,140,0,0,0,0,0,0,0,30,30,25,10,10,0,15,25,0,15,0,10,50,20,105,0,0,0,15,15,0,50,0,0,0,0,0,,
2/1/2018 16:10,0,0,0,0,0,15,0,0,0,10,0,120,0,0,0,0,0,0,0,30,30,15,10,10,0,15,10,0,5,0,10,50,20,95,0,0,0,15,20,0,50,0,0,0,0,0,,
2/1/2018 16:20,0,0,0,0,0,15,0,0,0,10,0,110,0,0,0,0,0,0,0,30,35,5,10,10,0,15,10,0,5,0,10,35,10,95,0,0,0,15,15,0,50,0,0,0,0,0,,
2/1/2018 16:30,0,0,0,0,0,10,0,0,0,10,0,100,0,0,0,0,0,0,0,30,30,15,10,10,0,10,5,0,5,0,10,35,10,85,0,0,15,10,10,0,50,0,0,0,0,0,,
2/1/2018 16:40,0,0,0,0,0,5,0,0,0,10,0,50,0,0,0,0,0,0,0,30,20,5,10,10,0,10,5,0,5,0,10,40,5,80,0,0,15,10,5,0,30,0,0,0,0,0,,
2/1/2018 16:50,0,0,0,0,0,5,0,0,0,10,0,20,0,0,0,0,0,0,0,30,5,5,10,10,0,10,5,0,10,0,10,25,5,50,0,0,15,10,5,0,10,0,0,0,0,0,,
2/1/2018 17:00,0,0,0,0,0,5,0,0,0,5,0,30,0,0,0,0,0,0,0,30,5,5,10,10,0,10,5,0,5,0,5,5,5,20,0,0,15,10,5,0,10,0,0,0,0,0,,
2/1/2018 17:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 17:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 17:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 17:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 17:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 18:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 18:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 18:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 18:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 18:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 19:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 19:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 19:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 19:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 19:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
